"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"n_lesen";"n_swipen";"n_stumm";"n_schliessen";"corona1";"corona2";"corona3";"corona4";"corona5";"corona6";"corona_suchen";"corona_entfolgen";"corona_glaubw";"corona_interesse";"krebs1";"krebs2";"krebs3";"krebs4";"krebs5";"krebs6";"krebs_suchen";"krebs_entfolgen";"krebs_glaubw";"krebs_interesse";"suchen";"entfolgen";"glaubw";"interesse"
"2156";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"36";"15";"a5";"Corona";"2";"4";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"1";"4";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"1";"4";"2"
"2175";"männlich";"Ja";"Abitur, Hochschulreife";"24";"10";"a2";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"2";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"3";"1"
"2168";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"28";"10";"a5";"Kontrolle";"5";"1";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"2";"4";"5";"2";"2";"4";"5"
"2166";"weiblich";"Nein";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"37";"40";"a5";"Kontrolle";"0";"0";"6";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Den Creator stummschalten";"Den Creator stummschalten";"Den Creator stummschalten";"Den Creator stummschalten";"Den Creator stummschalten";"Den Creator stummschalten";"4";"2";"2";"2";"4";"2";"2";"2"
"2184";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a2";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"2";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"3";"2"
"2193";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"3";"2";"3";"3";"3";"2";"3";"3"
"2199";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"30";"a5";"Corona";"2";"4";"0";"0";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"2";"2";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"2";"3";"3"
"2208";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"14";"a2";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"4";"5";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"4";"5";"2"
"2215";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"36";"10";"a5";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"3";"3";"2";"4";"3";"3";"2"
"2224";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"10";"a2";"Kontrolle";"6";"0";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"2";"3";"3";"2";"2";"3";"3"
"2232";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"10";"a2";"Corona";"5";"1";"0";"0";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"2";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"3";"3"
"2238";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"10";"a2";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"2";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"3";"2"
"2245";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"37";"a5";"Kontrolle";"0";"6";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"3";"2";"2";"4";"3";"2";"2"
"2250";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"14";"a2";"Kontrolle";"0";"6";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"3";"2";"1";"5";"3";"2";"1"
"2260";"weiblich";"Nein";"Fachhochschul-/Hochschulabschluss";"27";"01";"a5";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"2";"3";"2";"4";"2";"3";"2"
"2267";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"15";"a5";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"5";"4";"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"4";"2";"1"
"2278";"männlich";"Ja";"Abitur, Hochschulreife";"23";"12";"a2";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"3";"3";"3"
"2284";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"10";"a2";"Kontrolle";"6";"0";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"1";"4";"4";"2";"1";"4";"4"
"2295";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"2";"2";"4";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"2";"4";"2"
"2301";"männlich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Kontrolle";"6";"0";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"2";"3";"4";"3";"2";"3";"4"
"2308";"männlich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"2";"2";"1";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"2";"1";"4"
"2316";"männlich";"Nein";"Abitur, Hochschulreife";"19";"68";"a2";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"1";"3";"2";"5";"1";"3";"2"
"2319";NA;NA;NA;NA;NA;"a2";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"1";"4";"2";"4";"1";"4";"2"
"2332";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a1";"Corona";"4";"2";"0";"0";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"4";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"4";"3";"3"
"2338";"weiblich";"Ja";"Abgeschlossene Lehre/Ausbildung";"31";"13";"a2";"Corona";"2";"4";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"2";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"3";"2"
"2344";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"13";"a4";"Kontrolle";"0";"5";"1";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Den Creator stummschalten";"Weiterswipen";"5";"4";"3";"2";"5";"4";"3";"2"
"2350";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"19";"13";"a3";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"2";"3";"3";"4";"2";"3";"3"
"2356";"männlich";"Ja";"Abitur, Hochschulreife";"19";"10";"a3";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"1";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"1";"3";"1"
"2364";"weiblich";"Ja";"Abitur, Hochschulreife";"27";"33";"a5";"Corona";"2";"4";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"5";"4";"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"4";"2";"1"
"2370";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"10";"a2";"Kontrolle";"6";"0";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"2";"3";"3";"4";"2";"3";"3"
"2377";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a2";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"2";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"3";"1"
"2383";"weiblich";"Ja";"Abitur, Hochschulreife";"18";NA;"a3";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"1";"1";"3";"4";"1";"1";"3";"4"
